image,method,threshold,shrink,patch_size,sigma,mse,psnr
lena_gray.png,global,hard,v,9,10,43.74,31.72
lena_gray.png,global,hard,v,9,20,90.83,28.55
lena_gray.png,global,hard,v,9,30,137.39,26.75
lena_gray.png,global,hard,b,5,10,88.49,28.66
lena_gray.png,global,hard,b,5,20,297.07,23.40
lena_gray.png,global,hard,b,5,30,551.03,20.72
lena_gray.png,global,hard,b,7,10,89.64,28.61
lena_gray.png,global,hard,b,7,20,298.24,23.39
lena_gray.png,global,hard,b,7,30,549.61,20.73
lena_gray.png,global,hard,b,9,10,90.87,28.55
lena_gray.png,global,hard,b,9,20,303.61,23.31
lena_gray.png,global,hard,b,9,30,560.10,20.65
lena_gray.png,global,soft,v,5,10,167.18,25.90
lena_gray.png,global,soft,v,5,20,462.10,21.48
lena_gray.png,global,soft,v,5,30,844.05,18.87
lena_gray.png,global,soft,v,7,10,131.94,26.93
lena_gray.png,global,soft,v,7,20,327.34,22.98
lena_gray.png,global,soft,v,7,30,572.91,20.55
lena_gray.png,global,soft,v,9,10,121.24,27.29
lena_gray.png,global,soft,v,9,20,273.28,23.76
lena_gray.png,global,soft,v,9,30,454.39,21.56
lena_gray.png,global,soft,b,5,10,64.97,30.00
lena_gray.png,global,soft,b,5,20,176.85,25.65
lena_gray.png,global,soft,b,5,30,298.40,23.38
lena_gray.png,global,soft,b,7,10,64.70,30.02
lena_gray.png,global,soft,b,7,20,173.43,25.74
lena_gray.png,global,soft,b,7,30,281.02,23.64
lena_gray.png,global,soft,b,9,10,65.12,29.99
lena_gray.png,global,soft,b,9,20,173.34,25.74
lena_gray.png,global,soft,b,9,30,277.34,23.70
nyancat_gray.png,local,hard,v,5,10,9.89,38.18
nyancat_gray.png,local,hard,v,5,20,43.36,31.76
nyancat_gray.png,local,hard,v,5,30,125.96,27.13
nyancat_gray.png,local,hard,v,7,10,7.03,39.66
nyancat_gray.png,local,hard,v,7,20,19.87,35.15
nyancat_gray.png,local,hard,v,7,30,52.80,30.90
nyancat_gray.png,local,hard,v,9,10,8.29,38.94
nyancat_gray.png,local,hard,v,9,20,24.74,34.20
nyancat_gray.png,local,hard,v,9,30,51.15,31.04
nyancat_gray.png,local,hard,b,5,10,68.25,29.79
nyancat_gray.png,local,hard,b,5,20,216.61,24.77
nyancat_gray.png,local,hard,b,5,30,365.03,22.51
nyancat_gray.png,local,hard,b,7,10,67.00,29.87
nyancat_gray.png,local,hard,b,7,20,215.18,24.80
nyancat_gray.png,local,hard,b,7,30,359.74,22.57
nyancat_gray.png,local,hard,b,9,10,66.71,29.89
nyancat_gray.png,local,hard,b,9,20,216.32,24.78
nyancat_gray.png,local,hard,b,9,30,362.44,22.54
nyancat_gray.png,local,soft,v,5,10,73.52,29.47
nyancat_gray.png,local,soft,v,5,20,238.55,24.35
nyancat_gray.png,local,soft,v,5,30,433.98,21.76
nyancat_gray.png,local,soft,v,7,10,41.64,31.94
nyancat_gray.png,local,soft,v,7,20,137.44,26.75
nyancat_gray.png,local,soft,v,7,30,267.79,23.85
nyancat_gray.png,local,soft,v,9,10,40.70,32.04
nyancat_gray.png,local,soft,v,9,20,118.43,27.40
